Direction,Protocol,Entity,Configuration,Model,Target subject,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro F1,Log loss
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M07,0.5714285714285714,0.5851063829787234,0.7935544271659792,0.5851063829787234,0.4886407965258708,0.9466981296138828
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M08,0.47112462006079026,0.4645390070921986,0.5146133945944192,0.4645390070921986,0.38322060681678916,1.1955028825905136
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M09,0.6595744680851063,0.6382978723404256,0.6696897431902884,0.6382978723404256,0.5633429427269716,0.6794029598603196
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration,Ankle acceleration,Logistic regression,M10,0.7021276595744681,0.6595744680851064,0.5432830206423097,0.6595744680851064,0.573803481186771,0.547859295172955
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M01,0.331306990881459,0.3156028368794326,0.4693236714975845,0.3156028368794326,0.2944651286281935,4.436737249234031
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M02,0.4376899696048632,0.34751773049645385,0.25463912630579294,0.34751773049645385,0.2786080883852749,2.033950867091308
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M03,0.3130699088145897,0.2730496453900709,0.4315584240957375,0.2730496453900709,0.2560592299611688,3.028068973678425
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M04,0.20972644376899696,0.19503546099290778,0.2611339109287126,0.19503546099290778,0.18581009154779649,3.7598702334394782
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M05,0.46200607902735563,0.46808510638297873,0.4401726042529688,0.46808510638297873,0.4199328340443283,1.7618393492023796
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M06,0.44680851063829785,0.4361702127659574,0.41171787559064704,0.4361702127659574,0.3964202415587234,2.879481500710288
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,Ankle acceleration and gyroscope,Ankle acceleration and gyroscope,Logistic regression,M07,0.3799392097264438,0.40780141843971635,0.3773517882713285,0.40780141843971635,0.29515802000970603,2.264650424413709
